id, category, name, more_names
0, , afro, 
1, , big, 
2, , bob, 
3, , bob2, 
4, , buzzcut, 
5, , clown, 
6, , comma, 
7, , crazy, 
8, , crazy2, 
9, , crazy3, 
10, , fringeup, 
11, , frumpy, 
12, , halfshaved, 
13, , halfshaved2, 
14, , long, 
15, , longfrontcurly, 
16, , messier, 
17, , messy, 
18, , mohawk, 
19, , mohawk2, 
20, , mohawkbig, 
21, , mohawkshort, 
22, , mohawkthin, 
23, , oldman, 
24, , peakspike, 
25, , pigtails, 
26, , pompadour, 
27, , shavedhead, 
28, , short, 
29, , short2, 
30, , short3, 
31, , shortmessy, 
32, , side, 
33, , side2, 
34, , straight, 
35, , stringy, 
36, , vampire, 
37, , vampire2, 
38, , wild, 
39, , wild2, 
40, , wild3, 
41, , wild4, 
42, , wild5, 
